transaction_id,customer_id,product_id,purchase_date,price,city,festival
T0,c1,p4,2024-09-23T00:00:00.000000,399,Bhubaneswar,
T1,c948,p1,2024-11-12T00:00:00.000000,499,Ghaziabad,
T2,c802,p6,2024-03-04T00:00:00.000000,249,Serampore,
T3,c525,p9,2024-09-02T00:00:00.000000,299,Ghaziabad,
T4,c488,p6,2024-08-06T00:00:00.000000,249,Purnia,
T5,c660,p8,2024-05-24T00:00:00.000000,199,Solapur,
T6,c386,p7,2024-05-04T00:00:00.000000,349,Khora ,
T7,c637,p6,2024-04-25T00:00:00.000000,249,Guwahati,
T8,c362,p1,2024-07-30T00:00:00.000000,499,Vijayanagaram,
T9,c335,p2,2024-06-17T00:00:00.000000,199,Tenali,Summer
T10,c49,p7,2024-08-01T00:00:00.000000,349,Haldia,
T11,c788,p1,2024-10-20T00:00:00.000000,499,Mangalore,Diwali
T12,c115,p5,2024-10-28T00:00:00.000000,599,Vijayawada,
T13,c454,p2,2024-12-18T00:00:00.000000,199,Rajkot,
T14,c102,p3,2024-06-15T00:00:00.000000,149,Gandhinagar,
T15,c850,p5,2024-06-08T00:00:00.000000,599,Karawal Nagar,
T16,c41,p2,2024-04-30T00:00:00.000000,199,Rourkela,
T17,c306,p9,2024-05-15T00:00:00.000000,299,Hosur,
T18,c888,p9,2024-02-24T00:00:00.000000,299,Bhiwandi,
T19,c960,p7,2024-04-25T00:00:00.000000,349,Kurnool,
T20,c140,p0,2024-07-16T00:00:00.000000,299,Tiruchirappalli,
T21,c645,p4,2024-11-03T00:00:00.000000,399,Siwan,Diwali
T22,c166,p1,2024-11-26T00:00:00.000000,499,Ratlam,
T23,c937,p2,2024-03-22T00:00:00.000000,199,Navi Mumbai,
T24,c343,p7,2024-04-11T00:00:00.000000,349,Fatehpur,
T25,c948,p8,2024-03-23T00:00:00.000000,199,Ghaziabad,Holi
T26,c285,p3,2024-01-27T00:00:00.000000,149,Proddatur,
T27,c202,p4,2024-05-18T00:00:00.000000,399,Indore,Summer
T28,c498,p9,2024-12-28T00:00:00.000000,299,Mathura,
T29,c135,p9,2024-11-02T00:00:00.000000,299,South Dumdum,
T30,c429,p6,2024-05-09T00:00:00.000000,249,Muzaffarnagar,
T31,c796,p8,2024-06-19T00:00:00.000000,199,Satna,Summer
T32,c622,p2,2024-03-30T00:00:00.000000,199,Kochi,Holi
T33,c22,p4,2024-01-16T00:00:00.000000,399,Muzaffarpur,
T34,c535,p5,2024-10-22T00:00:00.000000,599,Narasaraopet,
T35,c402,p4,2024-04-29T00:00:00.000000,399,Bhimavaram,
T36,c702,p9,2024-02-20T00:00:00.000000,299,Satna,
T37,c622,p9,2024-10-08T00:00:00.000000,299,Kochi,
T38,c158,p5,2024-08-15T00:00:00.000000,599,Durgapur,
T39,c645,p9,2024-07-05T00:00:00.000000,299,Siwan,
T40,c5,p4,2024-05-02T00:00:00.000000,399,Allahabad,
T41,c347,p3,2024-05-21T00:00:00.000000,149,Thoothukudi,Summer
T42,c151,p5,2024-01-17T00:00:00.000000,599,Thrissur,
T43,c608,p5,2024-04-04T00:00:00.000000,599,Bokaro,
T44,c962,p8,2024-02-13T00:00:00.000000,199,Tiruvottiyur,
T45,c519,p2,2024-12-31T00:00:00.000000,199,Shimla,
T46,c102,p9,2024-10-11T00:00:00.000000,299,Gandhinagar,
T47,c499,p9,2024-08-15T00:00:00.000000,299,Thoothukudi,
T48,c80,p1,2024-03-31T00:00:00.000000,499,Rohtak,Holi
T49,c2,p2,2024-04-14T00:00:00.000000,199,Anantapuram,
T50,c683,p5,2024-05-24T00:00:00.000000,599,Pune,Summer
T51,c525,p5,2024-07-20T00:00:00.000000,599,Ghaziabad,
T52,c369,p1,2024-02-11T00:00:00.000000,499,Panihati,
T53,c431,p5,2024-08-21T00:00:00.000000,599,Davanagere,
T54,c482,p1,2024-11-07T00:00:00.000000,499,Raipur,
T55,c190,p1,2024-03-10T00:00:00.000000,499,Bhatpara,Holi
T56,c377,p0,2024-07-09T00:00:00.000000,299,Jorhat,
T57,c781,p4,2024-05-12T00:00:00.000000,399,Patiala,
T58,c139,p2,2024-02-11T00:00:00.000000,199,Munger,
T59,c277,p1,2024-06-24T00:00:00.000000,499,Ulhasnagar,Summer
T60,c95,p3,2024-08-20T00:00:00.000000,149,Chandigarh,
T61,c175,p9,2024-03-15T00:00:00.000000,299,Ambala,Holi
T62,c472,p9,2024-12-12T00:00:00.000000,299,Nanded,
T63,c390,p1,2024-06-12T00:00:00.000000,499,Barasat,
T64,c830,p0,2024-09-18T00:00:00.000000,299,Sonipat,
T65,c619,p5,2024-05-09T00:00:00.000000,599,Danapur,Summer
T66,c231,p2,2024-04-15T00:00:00.000000,199,Unnao,
T67,c542,p5,2024-02-19T00:00:00.000000,599,Mehsana,
T68,c220,p9,2024-11-20T00:00:00.000000,299,Bhubaneswar,
T69,c113,p2,2024-01-28T00:00:00.000000,199,Haridwar,
T70,c554,p6,2024-11-27T00:00:00.000000,249,Nizamabad,
T71,c249,p2,2024-10-25T00:00:00.000000,199,Mirzapur,
T72,c103,p6,2024-11-01T00:00:00.000000,249,Meerut,Diwali
T73,c622,p9,2024-10-10T00:00:00.000000,299,Kochi,
T74,c755,p6,2024-11-16T00:00:00.000000,249,Deoghar,
T75,c447,p2,2024-05-31T00:00:00.000000,199,Allahabad,Summer
T76,c66,p7,2024-12-06T00:00:00.000000,349,Bally,
T77,c238,p4,2024-03-13T00:00:00.000000,399,Shimoga,
T78,c159,p8,2024-09-29T00:00:00.000000,199,Udaipur,
T79,c606,p1,2024-05-07T00:00:00.000000,499,Guntur,
T80,c774,p2,2024-06-28T00:00:00.000000,199,Mahbubnagar,Summer
T81,c658,p7,2024-08-16T00:00:00.000000,349,Gopalpur,
T82,c377,p3,2024-01-01T00:00:00.000000,149,Jorhat,
T83,c676,p5,2024-08-10T00:00:00.000000,599,Karnal,
T84,c184,p6,2024-04-21T00:00:00.000000,249,Bhiwani,
T85,c595,p7,2024-10-14T00:00:00.000000,349,Dehri,Diwali
T86,c718,p6,2024-08-28T00:00:00.000000,249,Fatehpur,
T87,c294,p7,2024-06-15T00:00:00.000000,349,Phusro,
T88,c49,p3,2024-10-16T00:00:00.000000,149,Haldia,
T89,c856,p5,2024-03-15T00:00:00.000000,599,Mehsana,Holi
T90,c512,p2,2024-01-25T00:00:00.000000,199,Agartala,
T91,c980,p2,2024-02-23T00:00:00.000000,199,Hyderabad,
T92,c601,p2,2024-03-22T00:00:00.000000,199,Kishanganj,Holi
T93,c451,p6,2024-07-23T00:00:00.000000,249,Gangtok,
T94,c448,p5,2024-03-09T00:00:00.000000,599,Vadodara,
